         3705887 function calls (3631411 primitive calls) in 20.624 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       13    0.000    0.000    0.066    0.005 six.py:91(__get__)
       10    0.000    0.000    0.066    0.007 six.py:159(_resolve)
       13    0.000    0.000    0.066    0.005 six.py:80(_import_module)
    17801    0.065    0.000    0.065    0.000 {built-in method numpy.core.multiarray.empty}
       20    0.001    0.000    0.065    0.003 _base.py:948(_gen_axes_spines)
       80    0.001    0.000    0.064    0.001 spines.py:453(linear_spine)
    57860    0.064    0.000    0.064    0.000 {built-in method builtins.iter}
        1    0.000    0.000    0.064    0.064 request.py:68(<module>)
     1040    0.044    0.000    0.064    0.000 cbook.py:1406(popall)
    34113    0.039    0.000    0.063    0.000 core.py:6064(isMaskedArray)
      141    0.005    0.000    0.063    0.000 patches.py:87(__init__)
     3032    0.011    0.000    0.063    0.000 font_manager.py:813(set_family)
      922    0.003    0.000    0.062    0.000 transforms.py:828(from_bounds)
    14825    0.043    0.000    0.062    0.000 _weakrefset.py:26(__exit__)
      840    0.005    0.000    0.061    0.000 transforms.py:812(unit)
    37690    0.055    0.000    0.061    0.000 {built-in method builtins.getattr}
     4746    0.025    0.000    0.061    0.000 pyparsing.py:558(copy)
      990    0.005    0.000    0.060    0.000 shape_base.py:236(hstack)
       11    0.000    0.000    0.060    0.005 artist.py:1508(kwdoc)
      329    0.005    0.000    0.060    0.000 <frozen importlib._bootstrap>:861(_find_spec)
    13243    0.013    0.000    0.060    0.000 {method 'get' of 'dict' objects}
33101/29917    0.024    0.000    0.060    0.000 {built-in method builtins.hash}
        1    0.001    0.001    0.060    0.060 rcsetup.py:15(<module>)
      114    0.001    0.000    0.059    0.001 sre_parse.py:845(parse)
       60    0.001    0.000    0.059    0.001 _base.py:848(_update_transScale)
    33887    0.059    0.000    0.059    0.000 {built-in method __new__ of type object at 0x7f50daecece0}
     3723    0.013    0.000    0.059    0.000 lines.py:753(set_transform)
     4321    0.039    0.000    0.058    0.000 font_manager.py:720(__hash__)
      120    0.001    0.000    0.058    0.000 axis.py:708(_set_scale)
     7446    0.033    0.000    0.058    0.000 lines.py:1054(_split_drawstyle_linestyle)
     4840    0.010    0.000    0.057    0.000 figure.py:54(_stale_figure_callback)
      920    0.004    0.000    0.056    0.000 transforms.py:1927(rotate_deg)
      120    0.002    0.000    0.056    0.000 scale.py:69(set_default_locators_and_formatters)
      442    0.001    0.000    0.056    0.000 backend_agg.py:122(draw_markers)
   131904    0.055    0.000    0.055    0.000 artist.py:734(get_animated)
      442    0.002    0.000    0.055    0.000 transforms.py:2716(get_transformed_points_and_affine)
